condition12.thisRepN,condition12.thisTrialN,condition12.thisN,condition12.thisIndex,condition11.thisRepN,condition11.thisTrialN,condition11.thisN,condition11.thisIndex,condition10.thisRepN,condition10.thisTrialN,condition10.thisN,condition10.thisIndex,condition9.thisRepN,condition9.thisTrialN,condition9.thisN,condition9.thisIndex,condition8.thisRepN,condition8.thisTrialN,condition8.thisN,condition8.thisIndex,condition7.thisRepN,condition7.thisTrialN,condition7.thisN,condition7.thisIndex,condition6.thisRepN,condition6.thisTrialN,condition6.thisN,condition6.thisIndex,condition5.thisRepN,condition5.thisTrialN,condition5.thisN,condition5.thisIndex,condition4.thisRepN,condition4.thisTrialN,condition4.thisN,condition4.thisIndex,condition3.thisRepN,condition3.thisTrialN,condition3.thisN,condition3.thisIndex,condition2.thisRepN,condition2.thisTrialN,condition2.thisN,condition2.thisIndex,condition1.thisRepN,condition1.thisTrialN,condition1.thisN,condition1.thisIndex,thisRow.t,notes,InsFrame.started,key_resp.started,InsFrame.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prepare.started,condition,key_resp_6.started,ins_1back.started,pic_01png_2.started,prepare.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Stim.started,ans,image_bac.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,feedback.started,image_bac_2.started,msg_response.started,fixation_img.started,feedback.stopped,image_bac_2.stopped,msg_response.stopped,fixation_img.stopped,ins_2back.started,pic_02png_2.started,thanks.started,text_3.started,key_resp_3.started,thanks.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,年级,班级,性别,date,expName,psychopyVersion,frameRate,expStart,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88217163200079,,,,,,,,,,,,,,,,,22.862290837000728,j,22.88217163200079,23.880026660000112,j,1,0.995596364999983,None,23.880655886000568,23.894744105999962,23.894744105999962,23.894744105999962,24.379107879000003,24.397030373000234,24.397030373000234,24.397030373000234,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.397030373000234,,,,,,,,,,,,,,,,,24.379512051000347,j,24.397030373000234,25.347288924000168,j,1,0.9583677810005611,None,25.347967857000185,25.362082835000365,25.362082835000365,25.362082835000365,25.846043365000696,25.865618145000553,25.865618145000553,25.865618145000553,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.865618145000553,,,,,,,,,,,,,,,,,25.84644415599996,j,25.865618145000553,26.462971419000496,j,1,0.6023224320006193,None,26.46359532400038,26.479117204999966,26.479117204999966,26.479117204999966,26.96290460900036,26.981649045000268,26.981649045000268,26.981649045000268,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.981649045000268,,,,,,,,,,,,,,,,,26.96339062000061,j,26.981649045000268,27.51358819899997,j,1,0.5365516849997221,None,27.51421491900055,27.529291825000655,27.529291825000655,27.529291825000655,28.01386649699998,28.031978187000277,28.031978187000277,28.031978187000277,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.031978187000277,,,,,,,,,,,,,,,,,28.014310061000288,j,28.031978187000277,28.63039038700026,j,1,0.5935073050004576,None,28.63105781500053,28.644914267000786,28.644914267000786,28.644914267000786,29.130104649000714,29.150196362000315,29.150196362000315,29.150196362000315,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.150196362000315,,,,,,,,,,,,,,,,,29.130582495999988,j,29.150196362000315,30.080356632000075,j,1,0.9271376490005423,None,30.081074903000626,30.09566023500065,30.09566023500065,30.09566023500065,30.578662934000022,30.59590362600011,30.59590362600011,30.59590362600011,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.59590362600011,,,,,,,,,,,,,,,,,30.579085262000262,f,30.59590362600011,31.33000670600086,f,1,0.7296170159997928,None,31.3306286320003,31.344689600000493,31.344689600000493,31.344689600000493,31.829608688000008,31.84766587500053,31.84766587500053,31.84766587500053,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.84766587500053,,,,,,,,,,,,,,,,,31.83001037700069,j,31.84766587500053,32.43052584100042,j,1,0.5933028540002852,None,32.43117625800005,32.446139783000035,32.446139783000035,32.446139783000035,32.92918807700062,32.947873329000686,32.947873329000686,32.947873329000686,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.947873329000686,,,,,,,,,,,,,,,,,32.929586332000326,f,32.947873329000686,33.68010320600024,f,1,0.7279685209996387,None,33.6807549210007,33.69472831300027,33.69472831300027,33.69472831300027,34.178748658000586,34.19645088500056,34.19645088500056,34.19645088500056,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19645088500056,,,,,,,,,,,,,,,,,34.17915230000017,j,34.19645088500056,34.814693614000134,j,1,0.6272815250003987,None,34.81537235400083,34.83071671400012,34.83071671400012,34.83071671400012,35.32830830900002,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.346183913999994,,,,,,,,,,,,,,,,,35.328743958000814,j,35.346183913999994,35.99660356300046,j,1,0.6462534299998879,None,35.997224458000346,36.01137890800055,36.01137890800055,36.01137890800055,36.495858258000226,36.51589501300077,36.51589501300077,36.51589501300077,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.51589501300077,,,,,,,,,,,,,,,,,36.49627684400002,j,36.51589501300077,37.12987638800041,j,1,0.615258613000151,None,37.13054542200007,37.14627491600004,37.14627491600004,37.14627491600004,37.629394768000566,37.6450173380008,37.6450173380008,37.6450173380008,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.62945947700064,"{'i=': 11, 'n=': 1, 'len=': 9, 'fix=': 9}",37.6450173380008,37.6450173380008,37.6450173380008,38.84705260999999,space,1.1968078549998609,None,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8682636020003,,,,,,,,,,,,,,,,,38.848124708000796,f,38.8682636020003,39.5485513170006,f,1,0.6891896990000532,None,39.54953887300053,39.56767025000045,39.56767025000045,39.56767025000045,40.06206846000077,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.08154366300005,,,,,,,,,,,,,,,,,40.062488579000274,f,40.08154366300005,40.99878785800047,f,1,0.9288121359995785,None,40.9995115870006,41.01626489099999,41.01626489099999,41.01626489099999,41.51169709400074,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53063747500073,,,,,,,,,,,,,,,,,41.51212736100024,j,41.53063747500073,42.163565265000216,j,1,0.6317099060006512,None,42.164238391000254,42.18351293500018,42.18351293500018,42.18351293500018,42.678714374000265,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.69738264800071,,,,,,,,,,,,,,,,,42.67914956200002,f,42.69738264800071,43.363387481000245,f,1,0.6648265210005775,None,43.36425908900037,43.38233647400011,43.38233647400011,43.38233647400011,43.8789718980006,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89753568300057,,,,,,,,,,,,,,,,,43.87946933800049,j,43.89753568300057,44.53053171500051,j,1,0.6437708880002901,None,44.531231240000125,44.54834939800003,44.54834939800003,44.54834939800003,45.04545078499996,,,,,,,,,,,,,7,7,7,7,2024-06-04_21h47.25.212,N-BACK_primary,2024.1.4,None,2024-06-04 21h47.40.977487 +0800,
